"","x"
"1",1.50489540187249
"2",1.23374934331077
"3",1.20862008065288
"4",1.18386861271532
"5",1.16003515301878
"6",1.13890353924182
"7",1.12135002027865
"8",1.35730043742656
"9",1.09152730039456
"10",0.825794436199372
"11",1.06344726150623
"12",1.05198190409636
"13",1.04193774481204
"14",0.782481453859626
"15",1.02535945183389
"16",1.01716500375514
"17",0.756604254277699
"18",0.997138871333023
"19",0.989212561124557
"20",0.984759477849279
"21",0.982577258703328
"22",0.983178284883004
"23",0.988004733092515
"24",0.997533634269785
